Trustful 	Mandel	$$..
Adroit 	Gary	
Qualified 	Wade	
Purposeful 	Gene	
Romantic 	Cedric	
Energetic 	Dylan	
Dutiful 	Rod	
Orderly 	Victor	
Generous 	Drew	
Honest 	Ted	
Cozy 	Abel	
Purposeful 	Howar	
Discreet 	Matt	
Inventive 	York	
Critical 	Elton	
Charitable 	Peter	
Nice 	Jo	
Honey 	Julian	
Qualified 	Fitch	
Objective 	Philip	
Frank 	Edward	
Crummy 	Arlen	
Intelligent 	Neil	
Forceful 	Nathan	
Adroit 	Norton	
Gentle 	Arnold	
Coward 	Elroy	
Honey 	Eugene	
Coward 	Adair	
Corrupt 	Peter	
Liberal 	Clarence	
Active 	Simon	
Hearty 	Kelly	
Honest 	Omar	
Evil 	Haley	
Lovely 	Harley	
Lovely 	Xavier	
Earnest 	Roderick	
Trustful 	Luther	
Objective 	Sam	
Devoted 	Lou	
Active 	Allen	
Crude 	Jared	
Brave 	Myron	
Honest 	Quintion	
Crusty 	Angelo	
Audacious 	Alger	
Energetic 	Clark	
Cynical 	Donahue	
Lovely 	Aaron	
Lovely 	Emmanuel	
Rapture 	William	
Trustful 	Wendell	
Aspiring 	Harold	
Brutal 	Philip	
Brave 	Hugh	
Qualified 	Amos	
Confident 	Yehudi	
Cuckoo 	Giles	
Ambitious 	Hubery	
Dependable 	Wythe	
Adaptable 	Alfred	
Cynical 	Peter	
Modest 	Eden	
Adaptable 	Drew	
Ingenious 	Sandy	
Logical 	Claude	
Crude 	Vivian	
Learned 	Hardy	
Honest 	Rex	
Hateful 	Ternence	
Earnest 	Antony	
Alert 	Joyce	
Dependable 	Aaron	
Humor 	Primo	
Confident 	Miles	
Expressive 	Kim	
Ambitious 	Ahern	
Delicious 	Hugh	
Forceful 	Rex	
Capable 	John	
Careful 	Lynn	
Coward 	Ives	
Analytical 	Mick	
Hateful 	Jerome	
Devoted 	Payne	
Adroit 	Harriet	
Dishonest 	Vivian	
Gentle 	Dwight	
Cruel 	Humphrey	
Inventive 	Jack	
Lovely 	Nicholas	
Qualified 	Sandy	
Modest 	Clark	
Greedy 	August	
Cynical 	Tony	
Amiable 	Yehudi	
Honest 	Colbert	
Friendly 	Parker	
Diplomatic 	Felix	
Forceful 	Amos	
Cozy 	Tony	
Critical 	Vito	
Humble 	Arlen	
Cozy 	Stev	
Crazy 	Leonard	
Original 	Ted	
Punctual 	Arnold	
Amiable 	Aubrey	
Capable 	Clare	
Active 	Ed	
Punctual 	Edwiin	
Devoted 	Woodrow	
Faceless 	Elmer	
Frugal 	Dylan	
Humor 	Harold	
Precise 	Warner	
Hearty 	Sean	
Genteel 	Noel	
Rational 	Kelly	
Creative 	Lester	
Expressive 	Marsh	
Hearty 	Phil	
Friendly 	Jeff	
Persevering 	Hugh	
Painstaking 	Andy	
Honest 	Justin	
Brave 	Hamiltion	
Ambitious 	Rodney	
Devoted 	Ken	
Radient 	Colin	
Brave 	Reg	
Just 	Adolph	
Adaptable 	Lewis	
Crummy 	Les	
Aspiring 	Marlon	
Devoted 	Timothy	
Aspiring 	Jim	
Hearty 	Aubrey	
Generous 	Ivan	
Reasonable 	Toby	
Active 	Armand	
Creative 	Victor	
Greedy 	Ken	
Cuckoo 	Joshua	
Expressive 	Payne	
Humor 	Armand	
Coward 	Jack	
Amiable 	Everley	
Adroit 	Hugo	
Trustful 	Levi	
Nice 	Richard	
Capable 	Gerald	
Violent 	Jeremy	
Forceful 	Max	
Learned 	Robin	
Methodical 	Adair	
Trustful 	Edison	
Cynical 	Yehudi	
Methodical 	Wythe	
Punctual 	Pete	
Able 	Stev	
Nice 	Vic	
Hearty 	Samuel	
Dynamic 	Adam	
Independent 	Cash	
Clever 	Joyce	
Good 	Ivan	
Ingenious 	Wright	
Gentle 	Kyle	
Radient 	Taylor	
Ingenious 	Kerr	
Able 	Maurice	
Forceful 	Webb	
Orderly 	Scott	
Clever 	Spencer	
Clever 	Elvis	
Aspiring 	Taylor	
Crazy 	Kevin	
Generous 	Giles	
Lovely 	Morton	
Methodical 	Hogan	
Precise 	Cedric	
Qualified 	Toby	
Adroit 	Quincy	
Adaptable 	Archer	
Generous 	Merlin	
Lovely 	Paddy	
Capable 	Edgar	
Careful 	Lyle	
Dynamic 	Ziv	
Ambitious 	York	
Crazy 	Leopold	
Discreet 	Tom	
Loyal 	Maximilian	
Friendly 	Walter	
Realistic 	John	
Rational 	Herman	
Genteel 	Sandy	
Objective 	Marcus	
Corrupt 	Hugh	
Crummy 	Wythe	
Able 	Tobias	
Clever 	Gilbert	
Able 	Ed	
Hospitable 	Todd	
Helpful 	Alger	
Greedy 	William	
Dynamic 	Maurice	
Cooperative 	John	
Frugal 	Gerald	
Dependable 	Verne	
Hearty 	Armand	
Evil 	Donahue	
Active 	Marcus	
Violent 	Jerry	
Alert 	Hiram	
Romantic 	Fabian	
Cozy 	Andy	
Honest 	Vivian	
Adroit 	Edward	
Precise 	Maxwell	
Modest 	Tyrone	
Methodical 	Mike	
Rapture 	Warner	
Amiable 	Ted	
Practical 	Vic	
Good 	Isidore	
Hearty 	Merle	
Confident 	Noel	
Loyal 	Marlon	
Amicable 	Harley	
Alert 	Taylor	
Cuckoo 	Ansel	
Delicious 	Hogan	
Alert 	Phil	
Aspiring 	Morton	
Inventive 	Norton	
Evil 	Amos	
Adroit 	Newman	
Able 	Nathaniel	
Radient 	Elliot	
Crusty 	King	
Amiable 	Paul	
Just 	Gene	
Beautiful 	Luther	
Energetic 	Ed	
Alert 	Len	
Competent 	Hogan	
Logical 	Alva	
Radient 	Sid	
Just 	Orville	
Painstaking 	Ward	
Generous 	Arnold	
Hearty 	Peter	
Rational 	Hiram	
Dependable 	Primo	
Adaptable 	Verne	
Audacious 	Kim	
Generous 	Wendell	
Frank 	Xavier	
Humor 	Eugene	
Trustful 	Lyndon	
Inventive 	Sidney	
Ambitious 	Ira	
Audacious 	Hogan	
Dishonest 	Will	
Dashing 	Jerry	
Rational 	Alva	
Competent 	Felix	
Aspiring 	Edison	
Honesty 	Kerr	
Practical 	Monroe	
Faceless 	Tom	
Able 	Gene	
Alert 	Harlan	
Discreet 	Wythe	
Hospitable 	Isaac	
Greedy 	Dunn	
Active 	Kennedy	
Honey 	Lawrence	
Cynical 	Harvey	
Hateful 	Mick	
Frank 	Clare	
Loyal 	Evan	
Brutal 	Will	
Romantic 	Colin	
Faithful 	Xavier	
Cruel 	Sidon	
Trustful 	Quennel	
Crappy 	Ron	
Corrupt 	Lyle	
Creative 	Aldrich	
Dashing 	Donald	
Hateful 	York	
Just 	Truman	
Clever 	Troy	
Methodical 	Earl	
Hearty 	Sebastian	
Cunning 	Maxwell	
Blinkered 	Jonas	
Dashing 	Gale	
Coward 	Thomas	
Violent 	Leopold	
Dashing 	Ingram	
Confident 	Joyce	
Adroit 	Scott	
Independent 	Abel	
Precise 	Truman	
Discreet 	Taylor	
Clever 	Kevin	
Logical 	Rex	
Crude 	George	
Crummy 	Kim	
Amiable 	Lawrence	
Reasonable 	Tim	
Brave 	Gary	
Cruel 	Edward	
Corrupt 	Vincent	
Crude 	Hamiltion	
Methodical 	Jeff	
Helpful 	Ziv	
Evil 	Merlin	
Clever 	Elton	
Honest 	Joseph	
Crusty 	Wendell	
Humble 	Lou	
Careless 	Elvis	
Devoted 	Jacob	
Modest 	Ward	
Devoted 	Jared	
Humor 	Cliff	
Painstaking 	Leif	
Romantic 	King	
Cozy 	Louis	
Precise 	Rupert	
Dashing 	Abner	
Analytical 	Sam	
Cuckoo 	Miles	
Hearty 	Elvis	
Delicious 	Quinn	
Crusty 	Dylan	
Punctual 	Alva	
Diplomatic 	Upton	
Impartial 	Leif	
Adaptable 	Marsh	
Devoted 	Albert	
Coward 	Winfred	
Painstaking 	Hugo	
Cuckoo 	William	
Alert 	Eli	
Crude 	Kerr	
Analytical 	Kevin	
Amiable 	Thomas	
Dashing 	Harlan	
Competent 	Herman	
Dashing 	Mark	
Brutal 	Alva	
Humble 	Sidon	
Cozy 	Sam	
Radient 	Hobart	
Just 	Cedric	
Adaptable 	Harlan	
Crazy 	Marsh	
Learned 	Tracy	
Evil 	Ryan	
Radient 	Alvin	
Crappy 	Rock	
Lovely 	Rory	
Forceful 	Leif	
Responsible 	Ziv	
Forceful 	Charles	
Audacious 	Matt	
Energetic 	Walter	
Crude 	Rupert	
Brutal 	Ingram	
Crazy 	Geoff	
Dashing 	Virgil	
Honest 	Edgar	
Crusty 	Julian	
Jump-up 	Mick	
Hearty 	Ogden	
Hearty 	Enoch	
Candid 	Parker	
Dutiful 	Jack	
Cunning 	Webb	
Careful 	Antony	
Gentle 	Abbott	
Responsible 	Omar	
Crude 	Porter	
Friendly 	Raymond	
